CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,C_RATING,C_UPDATE,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"101813005","KIPP NORTHEAST COLLEGE PREPARATORY"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","12","09","09 - 12","S"
"101813006","KIPP SUNNYSIDE H S"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","12","09","09 - 12","S"
"101813041","KIPP 3D ACADEMY"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","08","05","05 - 08","M"
"101813042","KIPP SHARPSTOWN COLLEGE PREPARATOR"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","08","05","05 - 08","M"
"101813043","KIPP POLARIS ACADEMY FOR BOYS"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","08","05","05 - 08","M"
"101813044","KIPP INTREPID PREPARATORY SCHOOL"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","08","05","05 - 08","M"
"101813045","KIPP VOYAGE ACADEMY FOR GIRLS"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","08","05","05 - 08","M"
"101813046","KIPP GULFTON MIDDLE"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","07","05","05 - 07","M"
"101813047","KIPP LIBERATION COLLEGE PREP"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","08","06","06 - 08","M"
"101813048","KIPP SPIRIT COLLEGE PREP"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","08","05","05 - 08","M"
"101813049","KIPP ACADEMY WEST MIDDLE"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","06","05","05 - 06","M"
"101813050","KIPP SOUTHEAST HOUSTON MIDDLE"," ","N","N","Y","N","N","N","Y","N","M"," ","KIPP INC CHARTER","101813","05","05","05 - 05","E"
"101813105","KIPP SHINE PREP"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","04","PK","PK - 04","E"
"101813106","KIPP DREAM PREP"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","04","PK","PK - 04","E"
"101813107","KIPP SHARP COLLEGE PREP"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","04","PK","PK - 04","E"
"101813109","KIPP EXPLORE ACADEMY"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","04","PK","PK - 04","E"
"101813111","KIPP LEGACY PREPARATORY SCHOOL"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","04","PK","PK - 04","E"
"101813112","KIPP CONNECT PRI"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","04","PK","PK - 04","E"
"101813113","KIPP 3RD WARD SCHOOL"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","05","PK","PK - 05","E"
"101813114","KIPP ZENITH ACADEMY"," ","N","N","Y","N","N","N","N","N","M"," ","KIPP INC CHARTER","101813","04","PK","PK - 04","E"
"101813115","KIPP UNITY PRI"," ","N","N","Y","N","N","N","N","N","Z"," ","KIPP INC CHARTER","101813","01","KG","KG - 01","E"
"101813116","KIPP SOUTHEAST HOUSTON PRI"," ","N","N","Y","N","Y","N","Y","N","Z"," ","KIPP INC CHARTER","101813","KG","KG","KG - KG","E"
"101814101","VARNETT CHARTER SCHOOL"," ","N","N","Y","N","N","N","N","N","M"," ","THE VARNETT PUBLIC SCHOOL","101814","05","PK","PK - 05","E"
"101814102","THE VARNETT SCHOOL - NORTHEAST"," ","N","N","Y","N","N","N","N","N","M"," ","THE VARNETT PUBLIC SCHOOL","101814","05","PK","PK - 05","E"
"101814103","THE VARNETT SCHOOL - EAST"," ","N","N","Y","N","N","N","N","N","M"," ","THE VARNETT PUBLIC SCHOOL","101814","05","PK","PK - 05","E"
"101815101","ALIEF MONTESSORI COMMUNITY SCHOOL"," ","N","N","Y","N","N","N","N","N","M"," ","ALIEF MONTESSORI COMMUNITY SCHOOL","101815","05","EE","EE - 05","E"
"101819001","AMIGOS POR VIDA-FRIENDS FOR LIFE C"," ","N","N","Y","N","N","N","N","N","M"," ","AMIGOS POR VIDA-FRIENDS FOR LIFE P","101819","08","PK","PK - 08","E"
"101821001","HOUSTON HEIGHTS CHARTER SCHOOL","AEC OF CHOICE","Y","Y","Y","N","N","N","N","N","A"," ","HOUSTON HEIGHTS HIGH SCHOOL","101821","12","09","09 - 12","S"
"101828001","HOUSTON GATEWAY ACADEMY - CORAL CA"," ","N","N","Y","N","N","N","N","N","M"," ","HOUSTON GATEWAY ACADEMY INC","101828","12","PK","PK - 12","B"
"101828002","HOUSTON GATEWAY ACADEMY INC ELITE"," ","N","N","Y","N","N","N","N","N","M"," ","HOUSTON GATEWAY ACADEMY INC","101828","08","PK","PK - 08","E"
"101828101","HOUSTON GATEWAY ACADEMY"," ","N","N","Y","N","N","N","N","N","M"," ","HOUSTON GATEWAY ACADEMY INC","101828","08","PK","PK - 08","E"
