CAMPUS,CAMPNAME,CFLALTED,CFLCHART,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"014902001","BARTLETT SCHOOLS","N","N","BARTLETT ISD","014902","PK - 12","B"
"014903001","BELTON H S","N","N","BELTON ISD","014903","09 - 12","S"
"014903005","BELTON NEW TECH H S AT WASKOW","N","N","BELTON ISD","014903","09 - 12","S"
"014903006","BELL CO J J A E P","N","N","BELTON ISD","014903","09 - 11","S"
"014903043","LAKE BELTON MIDDLE","N","N","BELTON ISD","014903","06 - 08","M"
"014903044","SOUTH BELTON MIDDLE","N","N","BELTON ISD","014903","06 - 08","M"
"014903045","NORTH BELTON MIDDLE","N","N","BELTON ISD","014903","06 - 08","M"
"014903102","LEON HEIGHTS EL","N","N","BELTON ISD","014903","KG - 05","E"
"014903103","MILLER HEIGHTS EL","N","N","BELTON ISD","014903","KG - 05","E"
"014903104","SOUTHWEST EL","N","N","BELTON ISD","014903","KG - 05","E"
"014903108","LAKEWOOD EL","N","N","BELTON ISD","014903","KG - 05","E"
"014903109","SPARTA EL","N","N","BELTON ISD","014903","KG - 05","E"
"014903111","JOE M PIRTLE EL","N","N","BELTON ISD","014903","KG - 05","E"
"014903116","TARVER EL","N","N","BELTON ISD","014903","KG - 05","E"
"014903117","HIGH POINT EL","N","N","BELTON ISD","014903","KG - 05","E"
"014903118","CHISHOLM TRAIL EL","N","N","BELTON ISD","014903","KG - 05","E"
"014903119","BELTON EARLY CHILDHOOD SCHOOL","N","N","BELTON ISD","014903","EE - PK","E"
"014903120","CHARTER OAK EL","N","N","BELTON ISD","014903","KG - 05","E"
"014905001","HOLLAND H S","N","N","HOLLAND ISD","014905","09 - 12","S"
"014905041","HOLLAND MIDDLE","N","N","HOLLAND ISD","014905","06 - 08","M"
"014905101","HOLLAND EL","N","N","HOLLAND ISD","014905","PK - 05","E"
"014906001","KILLEEN H S","N","N","KILLEEN ISD","014906","09 - 12","S"
"014906002","C E ELLISON H S","N","N","KILLEEN ISD","014906","09 - 12","S"
"014906004","GATEWAY H S","N","N","KILLEEN ISD","014906","09 - 12","S"
"014906006","PATHWAYS ACADEMIC CAMPUS","Y","N","KILLEEN ISD","014906","09 - 12","S"
"014906007","HARKER HEIGHTS H S","N","N","KILLEEN ISD","014906","09 - 12","S"
"014906008","ROBERT M SHOEMAKER H S","N","N","KILLEEN ISD","014906","09 - 12","S"
"014906009","GATEWAY MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906013","KILLEEN ISD EARLY COLLEGE H S","N","N","KILLEEN ISD","014906","09 - 12","S"
"014906022","ADVENTHEALTH SCHOOL","Y","N","KILLEEN ISD","014906","01 - 12","B"
"014906026","KILLEEN JJAEP","N","N","KILLEEN ISD","014906","08 - 09","M"
"014906042","NOLAN MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906043","RANCIER MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906044","MANOR MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906046","EASTERN HILLS MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906048","PALO ALTO MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906049","LIBERTY HILL MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906050","LIVE OAK RIDGE MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906051","UNION GROVE MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906052","AUDIE MURPHY MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906053","CHARLES E PATTERSON MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906054","ROY J SMITH MIDDLE","N","N","KILLEEN ISD","014906","06 - 08","M"
"014906100","EL ALTER LEARNING CENTER","N","N","KILLEEN ISD","014906","01 - 05","E"
"014906102","CLIFTON PARK EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906105","HARKER HEIGHTS EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906108","MEADOWS EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906109","PEEBLES EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906110","PERSHING PARK EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906111","SUGAR LOAF EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906112","WEST WARD EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906113","BELLAIRE EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906115","NOLANVILLE EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906116","CLARKE EL","N","N","KILLEEN ISD","014906","PK - 03","E"
"014906119","HAY BRANCH EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906120","WILLOW SPRINGS EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906121","MOUNTAIN VIEW EL","N","N","KILLEEN ISD","014906","EE - 05","E"
"014906122","REECES CREEK EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906123","CLEAR CREEK EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906124","CEDAR VALLEY EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906125","BROOKHAVEN EL","N","N","KILLEEN ISD","014906","EE - 05","E"
"014906126","VENABLE VILLAGE EL","N","N","KILLEEN ISD","014906","EE - 05","E"
"014906127","TRIMMIER EL","N","N","KILLEEN ISD","014906","EE - 05","E"
"014906128","MONTAGUE VILLAGE EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906129","MAXDALE EL","N","N","KILLEEN ISD","014906","EE - 05","E"
"014906130","IRA CROSS JR EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906131","IDUMA EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906132","OVETA CULP HOBBY EL","N","N","KILLEEN ISD","014906","EE - 03","E"
"014906133","TIMBER RIDGE EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906135","SAEGERT EL","N","N","KILLEEN ISD","014906","EE - 05","E"
"014906136","SKIPCHA EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906137","RICHARD E CAVAZOS EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906138","HAYNES EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906139","DR JOSEPH A FOWLER EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906140","ALICE W DOUSE EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014906141","MAUDE MOORE WOOD EL","N","N","KILLEEN ISD","014906","PK - 05","E"
"014907001","ROGERS H S","N","N","ROGERS ISD","014907","09 - 12","S"
"014907041","ROGERS MIDDLE","N","N","ROGERS ISD","014907","06 - 08","M"
"014907043","BELL COUNTY DAEP","N","N","ROGERS ISD","014907","09 - 12","S"
